timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699171807697,223,HTTP Request Get All menus,200,OK,Thread Get Group 1-1,text,true,,8313,121,1,2,http://localhost/api/menu,223,0,10
1699171807697,244,HTTP Request Post All menus,200,OK,Thread Post Group 2-1,text,true,,2331,324,1,2,http://localhost,197,0,10
1699171807697,201,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-1,text,true,,652,179,1,2,http://localhost/api/menu/store,197,0,10
1699171807899,42,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-1,text,true,,1679,145,1,2,http://localhost,42,0,1
1699171807924,38,HTTP Request Get All menus,200,OK,Thread Get Group 1-1,text,true,,8313,121,1,2,http://localhost/api/menu,38,0,0
1699171807963,37,HTTP Request Get All menus,200,OK,Thread Get Group 1-1,text,true,,8313,121,1,2,http://localhost/api/menu,37,0,0
1699171807942,75,HTTP Request Post All menus,200,OK,Thread Post Group 2-1,text,true,,2331,324,1,2,http://localhost,38,0,1
1699171807942,38,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-1,text,true,,652,179,1,2,http://localhost/api/menu/store,38,0,1
1699171807981,36,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-1,text,true,,1679,145,1,2,http://localhost,36,0,0
1699171808001,38,HTTP Request Get All menus,200,OK,Thread Get Group 1-1,text,true,,8313,121,1,2,http://localhost/api/menu,38,0,0
1699171808039,37,HTTP Request Get All menus,200,OK,Thread Get Group 1-1,text,true,,8313,121,1,2,http://localhost/api/menu,37,0,1
1699171808018,73,HTTP Request Post All menus,200,OK,Thread Post Group 2-1,text,true,,2331,324,1,1,http://localhost,39,0,1
1699171808018,39,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-1,text,true,,652,179,1,1,http://localhost/api/menu/store,39,0,1
1699171808057,34,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-1,text,true,,1679,145,1,1,http://localhost,34,0,1
1699171808093,36,HTTP Request Post All menus,200,OK,Thread Post Group 2-1,text,true,,2331,324,1,1,http://localhost,20,0,1
1699171808093,20,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-1,text,true,,652,179,1,1,http://localhost/api/menu/store,20,0,1
1699171808113,16,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-1,text,true,,1679,145,1,1,http://localhost,16,0,1
1699171808130,35,HTTP Request Post All menus,200,OK,Thread Post Group 2-1,text,true,,2331,324,1,1,http://localhost,19,0,1
1699171808130,19,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-1,text,true,,652,179,1,1,http://localhost/api/menu/store,19,0,1
1699171808149,16,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-1,text,true,,1679,145,1,1,http://localhost,16,0,1
1699171808326,45,HTTP Request Get All menus,200,OK,Thread Get Group 1-2,text,true,,8313,121,1,2,http://localhost/api/menu,45,0,1
1699171808372,41,HTTP Request Get All menus,200,OK,Thread Get Group 1-2,text,true,,8313,121,1,2,http://localhost/api/menu,41,0,1
1699171808327,101,HTTP Request Post All menus,200,OK,Thread Post Group 2-2,text,true,,2331,324,1,2,http://localhost,65,0,1
1699171808327,65,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-2,text,true,,652,179,1,2,http://localhost/api/menu/store,65,0,1
1699171808393,35,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-2,text,true,,1679,145,1,2,http://localhost,35,0,0
1699171808413,35,HTTP Request Get All menus,200,OK,Thread Get Group 1-2,text,true,,8313,121,1,2,http://localhost/api/menu,35,0,1
1699171808448,37,HTTP Request Get All menus,200,OK,Thread Get Group 1-2,text,true,,8313,121,1,2,http://localhost/api/menu,37,0,1
1699171808430,70,HTTP Request Post All menus,200,OK,Thread Post Group 2-2,text,true,,2331,324,1,2,http://localhost,36,0,1
1699171808430,36,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-2,text,true,,652,179,1,2,http://localhost/api/menu/store,36,0,1
1699171808466,34,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-2,text,true,,1679,145,1,2,http://localhost,34,0,1
1699171808485,35,HTTP Request Get All menus,200,OK,Thread Get Group 1-2,text,true,,8313,121,1,2,http://localhost/api/menu,35,0,1
1699171808501,54,HTTP Request Post All menus,200,OK,Thread Post Group 2-2,text,true,,2331,324,1,1,http://localhost,36,0,0
1699171808501,37,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-2,text,true,,652,179,1,1,http://localhost/api/menu/store,36,0,0
1699171808538,17,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-2,text,true,,1679,145,1,1,http://localhost,17,0,1
1699171808556,37,HTTP Request Post All menus,200,OK,Thread Post Group 2-2,text,true,,2331,324,1,1,http://localhost,19,0,1
1699171808556,20,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-2,text,true,,652,179,1,1,http://localhost/api/menu/store,19,0,1
1699171808576,17,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-2,text,true,,1679,145,1,1,http://localhost,17,0,1
1699171808594,46,HTTP Request Post All menus,200,OK,Thread Post Group 2-2,text,true,,2331,324,1,1,http://localhost,18,0,1
1699171808594,19,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-2,text,true,,652,179,1,1,http://localhost/api/menu/store,18,0,1
1699171808613,27,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-2,text,true,,1679,145,1,1,http://localhost,26,0,0
1699171808994,66,HTTP Request Get All menus,200,OK,Thread Get Group 1-3,text,true,,8313,121,1,2,http://localhost/api/menu,65,0,1
1699171809061,43,HTTP Request Get All menus,200,OK,Thread Get Group 1-3,text,true,,8313,121,1,2,http://localhost/api/menu,43,0,1
1699171808994,126,HTTP Request Post All menus,200,OK,Thread Post Group 2-3,text,true,,2331,324,1,2,http://localhost,90,0,1
1699171808994,90,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-3,text,true,,652,179,1,2,http://localhost/api/menu/store,90,0,1
1699171809085,35,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-3,text,true,,1679,145,1,2,http://localhost,35,0,0
1699171809105,35,HTTP Request Get All menus,200,OK,Thread Get Group 1-3,text,true,,8313,121,1,2,http://localhost/api/menu,35,0,0
1699171809141,37,HTTP Request Get All menus,200,OK,Thread Get Group 1-3,text,true,,8313,121,1,2,http://localhost/api/menu,36,0,1
1699171809121,75,HTTP Request Post All menus,200,OK,Thread Post Group 2-3,text,true,,2331,324,1,2,http://localhost,37,0,1
1699171809121,37,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-3,text,true,,652,179,1,2,http://localhost/api/menu/store,37,0,1
1699171809158,38,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-3,text,true,,1679,145,1,2,http://localhost,38,0,1
1699171809178,38,HTTP Request Get All menus,200,OK,Thread Get Group 1-3,text,true,,8313,121,1,2,http://localhost/api/menu,38,0,1
1699171809197,53,HTTP Request Post All menus,200,OK,Thread Post Group 2-3,text,true,,2331,324,1,1,http://localhost,37,0,1
1699171809197,37,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-3,text,true,,652,179,1,1,http://localhost/api/menu/store,37,0,1
1699171809234,16,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-3,text,true,,1679,145,1,1,http://localhost,16,0,0
1699171809251,36,HTTP Request Post All menus,200,OK,Thread Post Group 2-3,text,true,,2331,324,1,1,http://localhost,19,0,1
1699171809251,19,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-3,text,true,,652,179,1,1,http://localhost/api/menu/store,19,0,1
1699171809270,17,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-3,text,true,,1679,145,1,1,http://localhost,17,0,1
1699171809288,37,HTTP Request Post All menus,200,OK,Thread Post Group 2-3,text,true,,2331,324,1,1,http://localhost,20,0,1
1699171809288,20,HTTP Request Post All menus-0,302,Found,Thread Post Group 2-3,text,true,,652,179,1,1,http://localhost/api/menu/store,20,0,1
1699171809308,17,HTTP Request Post All menus-1,200,OK,Thread Post Group 2-3,text,true,,1679,145,1,1,http://localhost,17,0,1
